ngrams,freq,fst.x,snd.x
a t ,4634,a ,t 
a l ,3850,a ,l 
a r ,3810,a ,r 
a n ,3277,a ,n 
a m ,3258,a ,m 
a s ,2061,a ,s 
a p ,1991,a ,p 
a c ,1630,a ,c 
a e ,1516,a ,e 
a b ,1508,a ,b 
a v ,1325,a ,v 
a d ,1291,a ,d 
a i ,669,a ,i 
a h ,639,a ,h 
a f ,555,a ,f 
a u ,353,a ,u 
a x ,259,a ,x 
a g ,233,a ,g 
a w ,121,a ,w 
a y ,113,a ,y 
a k ,79,a ,k 
a a ,36,a ,a 
a j ,13,a ,j 
a q ,1,a ,q 
b a ,1508,b ,a 
b l ,906,b ,l 
b s ,598,b ,s 
b e ,570,b ,e 
b u ,489,b ,u 
b o ,438,b ,o 
b r ,253,b ,r 
b i ,212,b ,i 
b y ,188,b ,y 
b c ,162,b ,c 
b m ,141,b ,m 
b j ,80,b ,j 
b f ,55,b ,f 
b t ,21,b ,t 
b x ,17,b ,x 
b b ,13,b ,b 
b d ,12,b ,d 
b w ,8,b ,w 
b p ,6,b ,p 
b n ,2,b ,n 
b h ,1,b ,h 
b v ,1,b ,v 
c o ,3547,c ,o 
c a ,1630,c ,a 
c e ,1139,c ,e 
c t ,1105,c ,t 
c n ,816,c ,n 
c h ,772,c ,h 
c r ,614,c ,r 
c s ,602,c ,s 
c i ,591,c ,i 
c p ,393,c ,p 
c l ,389,c ,l 
c f ,320,c ,f 
c u ,310,c ,u 
c k ,235,c ,k 
c d ,183,c ,d 
c b ,162,c ,b 
c x ,116,c ,x 
c y ,61,c ,y 
c c ,56,c ,c 
c m ,38,c ,m 
c w ,17,c ,w 
c g ,14,c ,g 
c v ,7,c ,v 
d e ,3221,d ,e 
d i ,1430,d ,i 
d a ,1291,d ,a 
d n ,1225,d ,n 
d o ,697,d ,o 
d r ,582,d ,r 
d s ,501,d ,s 
d l ,440,d ,l 
d t ,412,d ,t 
d u ,235,d ,u 
d d ,195,d ,d 
d c ,183,d ,c 
d f ,181,d ,f 
d p ,82,d ,p 
d j ,72,d ,j 
d y ,67,d ,y 
d g ,36,d ,g 
d m ,33,d ,m 
d v ,24,d ,v 
d x ,21,d ,x 
d b ,12,d ,b 
e r ,6657,e ,r 
e s ,5571,e ,s 
e l ,5214,e ,l 
e t ,3614,e ,t 
e m ,3394,e ,m 
e n ,3249,e ,n 
e d ,3221,e ,d 
e h ,1833,e ,h 
e g ,1524,e ,g 
e a ,1516,e ,a 
e p ,1453,e ,p 
e c ,1139,e ,c 
e u ,1091,e ,u 
e x ,981,e ,x 
e v ,834,e ,v 
e f ,832,e ,f 
e b ,570,e ,b 
e o ,455,e ,o 
e i ,401,e ,i 
e e ,330,e ,e 
e q ,232,e ,q 
e w ,206,e ,w 
e y ,177,e ,y 
f i ,2243,f ,i 
f o ,1488,f ,o 
f e ,832,f ,e 
